Disease,Causes,Precautions
allergy,Exposure to allergens like pollen or dust; Genetic factors; Overactive immune system; Environmental triggers,"Apply medicated calamine lotion to the affected area to reduce localized inflammation and suppress the urge to scratch.; Use a sterile, breathable bandage to cover the affected skin, preventing secondary bacterial infections from open lesions.; Apply cold compresses or ice packs wrapped in cloth to constricted blood vessels and reduce swelling and heat.; Identify and strictly avoid known environmental or dietary allergens to prevent the recurrence of hypersensitivity episodes."
hepatitis c,Hepatitis C virus (HCV); Contact with infected blood; Sharing needles; Unprofessional medical procedures,Consult with a gastroenterologist or hepatologist to determine the genotype of the virus and the appropriate treatment.; Follow the prescribed direct-acting antiviral (DAA) treatment regimen strictly to achieve a sustained virologic response.; Maintain a balanced diet rich in antioxidants to support liver health and minimize the impact of chronic inflammation.; Attend all scheduled follow-up appointments to monitor liver enzymes and check for the development of liver scarring.
pneumonia,Bacteria like Streptococcus pneumoniae; Viruses like influenza; Fungi; Aspiration of food or liquid,"Consult a physician for a definitive diagnosis and to determine if the infection is bacterial, viral, or fungal in origin.; Complete the full course of prescribed antibiotics or antivirals to ensure the infection is completely cleared from the lungs.; Ensure adequate physical rest and stay in a well-ventilated environment to support the recovery of the respiratory system.; Attend all follow-up appointments and consider a follow-up chest X-ray to confirm that the lung inflammation has resolved."
hypothyroidism,Hashimoto's disease; Iodine deficiency; Thyroid surgery; Radiation therapy,Implement stress management techniques such as meditation or deep breathing to minimize the impact of cortisol on metabolic function.; Engage in regular light-intensity exercise to help stimulate metabolic activity and improve cardiovascular health.; Maintain a balanced diet rich in iodine and selenium to provide the necessary raw materials for thyroid hormone synthesis.; Ensure a consistent sleep schedule to support the body’s endocrine system and manage the symptoms of chronic fatigue.
gastroenteritis,Norovirus or Rotavirus; Bacterial infection like Salmonella; Parasites; Contaminated food or water,"Transition to a liquid-only diet temporarily to allow the inflamed stomach and intestinal lining time to recover.; Sip small amounts of water or oral rehydration solutions (ORS) frequently to replace lost fluids and electrolytes.; Secure sufficient physical rest to allow the immune system to focus on clearing the viral or bacterial pathogen.; Gradually reintroduce bland, solid foods like rice, bananas, and toast once vomiting and diarrhea have subsided."
varicose veins,Weakened or damaged vein walls and valves; Chronic venous pressure; Aging; Pregnancy,Elevate the legs above the level of the heart several times a day to assist venous return and reduce localized swelling.; Apply prescribed topical ointments or creams to manage skin irritation and improve the health of the surrounding tissue.; Wear medical-grade compression stockings throughout the day to provide external support to the weakened vein walls.; Avoid standing or sitting in one position for extended periods; take frequent breaks to walk and stimulate leg circulation.
jaundice,Liver disease; Gallstones; Hemolytic anemia; Bile duct obstruction,"Maintain a high intake of fluids, particularly water and herbal teas, to assist the liver and kidneys in filtering bilirubin.; Consume milk thistle or other hepatoprotective supplements only if specifically recommended by a healthcare professional.; Eat a variety of fresh fruits and high-fiber foods to promote regular bowel movements and the excretion of bile.; Take all prescribed medications for the underlying cause of the jaundice as directed by a physician."
drug reaction,Interaction between drug and immune system; Genetic predisposition; Overdose or toxicity; Underlying viral infections,Cease the administration of any medication suspected of causing the reaction immediately to prevent further physiological insult.; Transport the individual to the nearest emergency facility for professional evaluation and stabilization of systemic symptoms.; Refrain from taking any over-the-counter drugs or home remedies until a physician identifies the specific cause of the reaction.; Schedule and attend follow-up consultations to monitor for delayed systemic effects or potential organ involvement.
(vertigo) paroymsal  positional vertigo,Displacement of calcium carbonate crystals in inner ear; Head injury; Inner ear disorders; Aging,"Transition immediately to a seated or supine position during dizziness to prevent falls and secondary injuries.; Avoid sudden or jerky body movements that can shift the calcium crystals within the inner ear's semicircular canals.; Refrain from making abrupt head movements, such as looking up quickly or turning the head sharply to the side.; Perform prescribed vestibular rehabilitation and balance exercises to help the brain compensate for inner ear signals."
heart attack,Coronary artery disease; Blood clot; High cholesterol; High blood pressure,"Contact emergency medical services immediately at the first sign of chest pain to receive life-saving intervention.; If conscious and instructed by emergency dispatchers, chew and swallow a non-coated aspirin to reduce blood clotting.; Keep the individual calm, seated, and still to minimize the heart's workload and the demand for oxygen.; Loosen any tight or restrictive clothing around the neck, chest, and waist to facilitate easier breathing and circulation."
tuberculosis,Mycobacterium tuberculosis; Inhalation of airborne droplets; Close contact with infected individuals; Weakened immune system,Always cover the mouth and nose with a tissue or a mask when coughing or sneezing to prevent the airborne spread of bacteria.; Maintain a schedule of regular consultations with a TB specialist to monitor the progress of the treatment.; Complete the entire multi-month course of anti-tubercular medication to prevent the development of drug-resistant strains.; Ensure adequate rest and a calorie-rich diet to support the body's repair of lung tissue damaged by the infection.
typhoid,Salmonella typhi bacteria; Contaminated food and water; Poor sanitation; Close contact with a carrier,"Consume high-calorie, easily digestible vegetarian meals to provide energy while the digestive system is compromised.; Complete the entire course of antibiotic therapy even if symptoms improve to prevent the development of a chronic carrier state.; Consult a doctor immediately at the onset of symptoms for diagnostic testing and the initiation of supportive care.; Strictly adhere to the prescribed medication schedule and maintain a high level of hydration with purified water."
common cold,Rhinovirus; Coronaviruses; Respiratory droplets; Touching contaminated surfaces,Increase the intake of fluids rich in Vitamin C and antioxidants to support the immune system's response to the viral infection.; Utilize steam inhalation from a bowl of hot water to help loosen mucus and relieve congestion in the nasal passages.; Avoid the consumption of very cold foods and beverages that may further irritate the throat and respiratory membranes.; Manage fever and body aches with rest and the appropriate use of over-the-counter antipyretic medications.
peptic ulcer diseae,Helicobacter pylori infection; Long-term use of NSAIDs; Excessive stomach acid; Lifestyle factors,"Eliminate spicy, acidic, and fried foods from the diet to prevent the chemical irritation of the damaged gastric mucosa.; Incorporate probiotic-rich foods like yogurt into the diet to help maintain a healthy balance of microflora in the gut.; Limit the consumption of cow's milk if it causes an increase in acid production or gastrointestinal discomfort.; Reduce or entirely eliminate the consumption of alcohol to prevent further erosion of the stomach and intestinal lining."
paralysis (brain hemorrhage),Ruptured aneurysm; High blood pressure; Head trauma; Blood vessel abnormalities,"Engage in daily physiotherapy sessions guided by a professional to maintain muscle tone and prevent joint contractures.; Follow a heart-healthy diet low in sodium and saturated fats to manage blood pressure and prevent future hemorrhages.; Perform specific, supervised range-of-motion exercises to encourage neuroplasticity and the recovery of motor function.; Consult a neurologist or rehabilitation specialist regularly to monitor neurological recovery and adjust the care plan."
fungal infection,Fungal species like Candida or Tinea; Warm and moist environments; Weakened immune system; Poor hygiene,"Bathe twice daily using a prescribed antifungal wash to reduce the fungal load on the surface of the skin.; Use water infused with neem or other medicated solutions to cleanse the affected area and inhibit fungal growth.; Keep the affected skin surfaces thoroughly dry, especially in skin folds, as fungi thrive in moist environments.; Wear clean, breathable, and loose-fitting cotton clothing to prevent moisture buildup and reduce friction on the skin."
impetigo,Staphylococcus aureus; Streptococcus pyogenes; Skin-to-skin contact; Breaks in the skin,"Soak the affected area in warm water to gently soften the characteristic honey-colored crusts before cleaning.; Apply prescribed topical antibiotic ointments to the lesions as directed to eliminate the underlying bacterial infection.; Gently remove loosened scabs using a clean, wet compress to allow the antibiotic treatment to reach the infected tissue.; Consult a healthcare professional to determine if oral antibiotics are necessary to prevent the systemic spread of the bacteria."
gerd,Weakening of the lower esophageal sphincter; Obesity; Hiatal hernia; Pregnancy,"Eliminate spicy, acidic, and high-fat foods from the diet to prevent the relaxation of the lower esophageal sphincter.; Remain in an upright position for at least three hours after eating to allow gravity to assist in keeping gastric contents in the stomach.; Achieve and maintain a healthy body weight to reduce intra-abdominal pressure that can force acid into the esophagus.; Perform regular physical activity but avoid high-impact workouts or bending over immediately after consuming a meal."
dengue,Dengue virus; Bite of infected Aedes mosquitoes; Mother-to-child transmission (rare); Blood transfusion (rare),"Drink fresh papaya leaf juice or other fluids if advised by a clinician to help support platelet counts during the infection.; Avoid the consumption of oily, spicy, and heavy foods that may cause gastrointestinal upset and complicate recovery.; Use mosquito nets, window screens, and protective clothing to prevent further mosquito bites and the spread of the virus.; Maintain excellent hydration by drinking water, ORS, or fruit juices to prevent the complications of plasma leakage."
malaria,Plasmodium parasites; Bite of infected female Anopheles mosquito; Blood transfusion (rare); Organ transplant (rare),"Present to a clinical facility for diagnostic blood smears and the initiation of targeted antimalarial therapy as soon as possible.; Exclude high-fat and heavy meals from the diet to reduce the metabolic load on the liver and digestive system during recovery.; Focus on easily digestible, nutrient-dense foods to maintain energy levels and support the overall immune response.; Employ insecticide-treated bed nets and topical repellents to prevent further bites and the potential transmission to others."
chicken pox,Varicella-zoster virus; Close contact with an infected person; Airborne droplets; Touching fluid from blisters,Bathe in lukewarm water infused with neem leaves or baking soda to help soothe the skin and reduce the intensity of itching.; Consume a balanced diet that may include neem or other immune-supporting herbs if recommended by a traditional practitioner.; Ensure that all family members and close contacts are vaccinated to prevent the further spread of the Varicella virus.; Avoid visiting crowded or public places until all the skin lesions have completely crusted over to prevent transmission.
osteoarthristis,Aging and wear and tear; Joint injury or overuse; Obesity; Genetic factors,Utilize acetaminophen or other prescribed analgesics to manage chronic joint pain and reduce localized inflammation.; Consult with an orthopedic specialist or physical therapist to develop a plan for joint preservation and mobility.; Attend regular follow-up appointments to track the progression of joint degeneration and adjust pain management strategies.; Take warm salt baths or use heat therapy to relax the muscles surrounding the joints and alleviate morning stiffness.
